Date	Time	Event	Length	Data
2026/01/13	02:01:01.245	RX FC3	57	00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:01.245	TX FC3	12	00 01 00 00 00 06 01 03 00 6A 00 18   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:01.245	RX FC3	49	30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:02.264	TX FC1	12	00 15 00 00 00 06 01 01 00 01 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:02.326	TX FC1	12	00 01 00 00 00 06 01 01 00 01 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:02.345	RX FC1	10	00 01 00 00 00 04 01 01 01 00   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:02.345	TX FC1	12	00 01 00 00 00 06 01 01 00 01 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:02.345	RX FC1	2	01 00   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:02.466	TX FC6	12	00 16 00 00 00 06 01 06 00 6A 00 00   (unit=1)
2026/01/13	02:01:02.466	TX FC6	12	00 01 00 00 00 06 01 06 00 6A 00 00   (unit=1)
2026/01/13	02:01:02.466	RX FC106	4	00 6A 00 00   (unit=0)
2026/01/13	02:01:02.467			OPC: TX: OPC->Modbus WRITE_OK: Channel2.Device1.MF
2026/01/13	02:01:02.583			OPC: TX: OPC->Modbus WRITE_CALL: Channel2.Device1.MF => [3.0, 25.0, 5.0, 25.0, 0.0, 0.0, 0.0, 0.0, -100.0, 0.0, 30.0, 30.0]
2026/01/13	02:01:02.589	TX FC16	17	00 18 00 00 00 0B 01 10 00 5F 00 02 04 42 34 00 00   (unit=1)
2026/01/13	02:01:02.589	TX FC6	12	00 19 00 00 00 06 01 06 00 5F 00 00   (unit=1)
2026/01/13	02:01:02.589	TX FC16	17	00 01 00 00 00 0B 01 10 00 5F 00 02 04 42 34 00 00   (unit=1)
2026/01/13	02:01:02.590	TX FC6	12	00 01 00 00 00 06 01 06 00 5F 00 00   (unit=1)
2026/01/13	02:01:02.590			OPC: TX: OPC->Modbus WRITE_OK: Channel1.Device1.MF
2026/01/13	02:01:02.605			OPC: TX: OPC->Modbus WRITE_OK: Channel1.Device1.Tag1
2026/01/13	02:01:02.791			OPC: TX: OPC->Modbus WRITE_CALL: Channel1.Device1.MF => [50.0, 5.0, 0.0, 2.0, 600.0000610351562, 3.0, 25.0, 5.0, 25.0, 0.0, 0.0, 0.0, 0.0, -50.0, 0.0, 30.0, 30.0, 600.0, 1.194640759649701e-07, 0.20569999516010284, 0.0, 0.0, 0.0, 0.20569999516010284, 0.0]
2026/01/13	02:01:02.792			OPC: TX: OPC->Modbus WRITE_CALL: Channel1.Device1.Tag1 => 50.0
2026/01/13	02:01:03.350	TX FC2	12	00 1A 00 00 00 06 01 02 00 02 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:03.381	TX FC2	12	00 01 00 00 00 06 01 02 00 02 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:03.394	RX FC2	10	00 01 00 00 00 04 01 02 01 00   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:03.394	TX FC2	12	00 01 00 00 00 06 01 02 00 02 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:03.395	RX FC2	2	01 00   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:03.891	TX FC16	17	00 01 00 00 00 0B 01 10 00 5F 00 02 04 00 00 42 48   (unit=1)
2026/01/13	02:01:03.941	RX FC16	12	00 01 00 00 00 06 01 10 00 5F 00 02   (unit=1)
2026/01/13	02:01:04.407	TX FC3	12	00 1C 00 00 00 06 01 03 00 6A 00 18   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:04.438	TX FC3	12	00 01 00 00 00 06 01 03 00 6A 00 18   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:04.451	RX FC3	57	00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:04.451	TX FC3	12	00 01 00 00 00 06 01 03 00 6A 00 18   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:04.451	RX FC3	49	30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:04.645	TX FC6	12	00 1E 00 00 00 06 01 06 00 6A 00 00   (unit=1)
2026/01/13	02:01:04.645	TX FC6	12	00 01 00 00 00 06 01 06 00 6A 00 00   (unit=1)
2026/01/13	02:01:04.645	RX FC106	4	00 6A 00 00   (unit=0)
2026/01/13	02:01:04.646			OPC: TX: OPC->Modbus WRITE_OK: Channel2.Device1.MF
2026/01/13	02:01:04.818			OPC: TX: OPC->Modbus WRITE_CALL: Channel2.Device1.MF => [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2026/01/13	02:01:04.838	TX FC6	12	00 1F 00 00 00 06 01 06 00 5F 00 00   (unit=1)
2026/01/13	02:01:04.838	TX FC6	12	00 01 00 00 00 06 01 06 00 5F 00 00   (unit=1)
2026/01/13	02:01:04.839			OPC: TX: OPC->Modbus WRITE_OK: Channel1.Device1.MF
2026/01/13	02:01:04.876	TX FC16	17	00 20 00 00 00 0B 01 10 00 5F 00 02 04 42 48 00 00   (unit=1)
2026/01/13	02:01:04.876	TX FC16	17	00 01 00 00 00 0B 01 10 00 5F 00 02 04 42 48 00 00   (unit=1)
2026/01/13	02:01:04.921			OPC: TX: OPC->Modbus WRITE_OK: Channel1.Device1.Tag1
